method,seed,generation,best_f1_iv,best_f2_deg,best_f3_cta,best_select_f1_iv,best_select_f2_deg,best_select_f3_cta,front_mean_f1_iv,front_mean_f2_deg,front_mean_f3_cta,front_mean_select_f1_iv,front_mean_select_f2_deg,front_mean_select_f3_cta,average_objective,raw_average_objective,best_average_objective,best_raw_average_objective,constraint_violation,hv,igd,config
MOEA/D::default,1001,220,0.16261886060237885,0.034103211015462875,0.23258984088897705,0.16261886060237885,0.034103211015462875,0.23258984088897705,0.1426941305398941,0.037599630653858185,0.26902225613594055,0.1426941305398941,0.037599630653858185,0.26902225613594055,0.14977200329303741,0.14977200329303741,0.1431039720773697,0.1431039720773697,0.0,0.6925,0.10298732949763151,default
MOEA/D::default,1002,220,0.14506034553050995,0.02268376015126705,0.24634985625743866,0.14506034553050995,0.02268376015126705,0.24634985625743866,0.14440520107746124,0.024055389687418938,0.24587397277355194,0.14440520107746124,0.024055389687418938,0.24587397277355194,0.13811151683330536,0.13811151683330536,0.13803131878376007,0.13803131878376007,0.0,0.6916666666666667,0.075619442758536,default
MOEA/D::default,1003,220,0.10831564664840698,0.020149968564510345,0.2676355242729187,0.10831564664840698,0.020149968564510345,0.2676355242729187,0.11218778043985367,0.022656502202153206,0.2530473470687866,0.11218778043985367,0.022656502202153206,0.2530473470687866,0.12929721176624298,0.12929721176624298,0.13203372061252594,0.13203372061252594,0.0,0.75,0.05001856380075301,default
MOEA/D::default,1004,220,0.20285217463970184,0.03260272741317749,0.39954861998558044,0.20285217463970184,0.03260272741317749,0.39954861998558044,0.17613770067691803,0.04682213440537453,0.28136417269706726,0.17613770067691803,0.04682213440537453,0.28136417269706726,0.1681080013513565,0.1681080013513565,0.21166783571243286,0.21166783571243286,0.0,0.63,0.16828703316407673,default
MOEA/D::default,1005,220,0.16632476449012756,0.03458252549171448,0.27514058351516724,0.16632476449012756,0.03458252549171448,0.27514058351516724,0.14916759729385376,0.03828217089176178,0.29580891132354736,0.14916759729385376,0.03828217089176178,0.29580891132354736,0.16108621656894684,0.16108621656894684,0.15868262946605682,0.15868262946605682,0.0,0.6766666666666666,0.11930388633720218,default
MOEA/D::default,1006,220,0.13688530027866364,0.026995539665222168,0.2994339168071747,0.13688530027866364,0.026995539665222168,0.2994339168071747,0.14248627424240112,0.03309687599539757,0.25015386939048767,0.14248627424240112,0.03309687599539757,0.25015386939048767,0.1419123411178589,0.1419123411178589,0.15443825721740723,0.15443825721740723,0.0,0.7116666666666667,0.07240255607033473,default
MOEA/D::default,1007,220,0.18348221480846405,0.02927229180932045,0.3548401892185211,0.18348221480846405,0.02927229180932045,0.3548401892185211,0.17355354130268097,0.04135580360889435,0.33861005306243896,0.17355354130268097,0.04135580360889435,0.33861005306243896,0.18450646102428436,0.18450646102428436,0.18919824063777924,0.18919824063777924,0.0,0.6291666666666667,0.12797595538655335,default
MOEA/D::default,1008,220,0.10497118532657623,0.021146761253476143,0.1789432168006897,0.10497118532657623,0.021146761253476143,0.1789432168006897,0.09672823548316956,0.026090102270245552,0.2026970237493515,0.09672823548316956,0.026090102270245552,0.2026970237493515,0.10850512236356735,0.10850512236356735,0.10168705135583878,0.10168705135583878,0.0,0.7958333333333333,0.016089217699136595,default
MOEA/D::default,1009,220,0.09457875043153763,0.032540418207645416,0.2626529633998871,0.09457875043153763,0.032540418207645416,0.2626529633998871,0.10821131616830826,0.03447693958878517,0.22638870775699615,0.10821131616830826,0.03447693958878517,0.22638870775699615,0.12302565574645996,0.12302565574645996,0.12992404401302338,0.12992404401302338,0.0,0.7383333333333333,0.0665196498181285,default
MOEA/D::default,1010,220,0.1581830382347107,0.024605154991149902,0.33212730288505554,0.1581830382347107,0.024605154991149902,0.33212730288505554,0.123454250395298,0.0450468584895134,0.28718528151512146,0.123454250395298,0.0450468584895134,0.28718528151512146,0.1518954634666443,0.1518954634666443,0.17163848876953125,0.17163848876953125,0.0,0.7091666666666666,0.08567130018021793,default
MOEA/D::low_immigrant,1001,220,0.13154686987400055,0.018714742735028267,0.30248916149139404,0.13154686987400055,0.018714742735028267,0.30248916149139404,0.1400662511587143,0.01881442777812481,0.2967163920402527,0.1400662511587143,0.01881442777812481,0.2967163920402527,0.15186569094657898,0.15186569094657898,0.1509169191122055,0.1509169191122055,0.0,0.7141666666666666,0.09426915978608219,low_immigrant
MOEA/D::low_immigrant,1002,220,0.1428723931312561,0.03235657885670662,0.27839916944503784,0.1428723931312561,0.03235657885670662,0.27839916944503784,0.13333286345005035,0.038083869963884354,0.24454766511917114,0.13333286345005035,0.038083869963884354,0.24454766511917114,0.13865479826927185,0.13865479826927185,0.15120936930179596,0.15120936930179596,0.0,0.6741666666666667,0.09690069028630859,low_immigrant
MOEA/D::low_immigrant,1003,220,0.1536835879087448,0.030552946031093597,0.36943700909614563,0.1536835879087448,0.030552946031093597,0.36943700909614563,0.15105505287647247,0.0474911667406559,0.2616593837738037,0.15105505287647247,0.0474911667406559,0.2616593837738037,0.15340186655521393,0.15340186655521393,0.18455784022808075,0.18455784022808075,0.0,0.7025,0.11741769866643963,low_immigrant
MOEA/D::low_immigrant,1004,220,0.13103601336479187,0.04474524408578873,0.24564999341964722,0.13103601336479187,0.04474524408578873,0.24564999341964722,0.14388543367385864,0.043728962540626526,0.2683124840259552,0.14388543367385864,0.043728962540626526,0.2683124840259552,0.1519756317138672,0.1519756317138672,0.14047707617282867,0.14047707617282867,0.0,0.6725,0.1562272149730545,low_immigrant
MOEA/D::low_immigrant,1005,220,0.16205330193042755,0.02003043331205845,0.323835551738739,0.16205330193042755,0.02003043331205845,0.323835551738739,0.1561330109834671,0.02571607008576393,0.264611154794693,0.1561330109834671,0.02571607008576393,0.264611154794693,0.14882008731365204,0.14882008731365204,0.16863976418972015,0.16863976418972015,0.0,0.6875,0.08103394971888529,low_immigrant
MOEA/D::low_immigrant,1006,220,0.1479611098766327,0.032549917697906494,0.35396116971969604,0.1479611098766327,0.032549917697906494,0.35396116971969604,0.15617960691452026,0.03702354058623314,0.2905464172363281,0.15617960691452026,0.03702354058623314,0.2905464172363281,0.16124986112117767,0.16124986112117767,0.17815740406513214,0.17815740406513214,0.0,0.6541666666666667,0.11965266118001451,low_immigrant
MOEA/D::low_immigrant,1007,220,0.10497069358825684,0.024657495319843292,0.28716176748275757,0.10497069358825684,0.024657495319843292,0.28716176748275757,0.11544077098369598,0.03420792892575264,0.21725775301456451,0.11544077098369598,0.03420792892575264,0.21725775301456451,0.12230215221643448,0.12230215221643448,0.13892997801303864,0.13892997801303864,0.0,0.7291666666666666,0.047037906139518214,low_immigrant
MOEA/D::low_immigrant,1008,220,0.12916843593120575,0.01678546704351902,0.2130660116672516,0.12916843593120575,0.01678546704351902,0.2130660116672516,0.11978936940431595,0.01922597922384739,0.22988635301589966,0.11978936940431595,0.01922597922384739,0.22988635301589966,0.12296723574399948,0.12296723574399948,0.11967331171035767,0.11967331171035767,0.0,0.7575,0.062481780373170176,low_immigrant
MOEA/D::low_immigrant,1009,220,0.14659292995929718,0.043890126049518585,0.22754114866256714,0.14659292995929718,0.043890126049518585,0.22754114866256714,0.15207891166210175,0.043437305837869644,0.26126840710639954,0.15207891166210175,0.043437305837869644,0.26126840710639954,0.15226154029369354,0.15226154029369354,0.13934139907360077,0.13934139907360077,0.0,0.635,0.170802789840437,low_immigrant
MOEA/D::low_immigrant,1010,220,0.1310521513223648,0.03155078366398811,0.3533892035484314,0.1310521513223648,0.03155078366398811,0.3533892035484314,0.14611072838306427,0.037329282611608505,0.2965051233768463,0.14611072838306427,0.037329282611608505,0.2965051233768463,0.15998171269893646,0.15998171269893646,0.17199738323688507,0.17199738323688507,0.0,0.6758333333333333,0.10770866438802913,low_immigrant
MOEA/D::large_neighborhood,1001,220,0.19011357426643372,0.023765845224261284,0.30809250473976135,0.19011357426643372,0.023765845224261284,0.30809250473976135,0.1683875024318695,0.02798864245414734,0.3252035677433014,0.1683875024318695,0.02798864245414734,0.3252035677433014,0.17385990917682648,0.17385990917682648,0.1739906519651413,0.1739906519651413,0.0,0.6533333333333333,0.10236438711097294,large_neighborhood
MOEA/D::large_neighborhood,1002,220,0.19849535822868347,0.047939423471689224,0.3203529417514801,0.19849535822868347,0.047939423471689224,0.3203529417514801,0.15898144245147705,0.05942065641283989,0.29297035932540894,0.15898144245147705,0.05942065641283989,0.29297035932540894,0.17045748233795166,0.17045748233795166,0.1889292448759079,0.1889292448759079,0.0,0.6316666666666667,0.23906496889613413,large_neighborhood
MOEA/D::large_neighborhood,1003,220,0.14268901944160461,0.023289302363991737,0.31538620591163635,0.14268901944160461,0.023289302363991737,0.31538620591163635,0.11664527654647827,0.031663741916418076,0.26161953806877136,0.11664527654647827,0.031663741916418076,0.26161953806877136,0.13664285838603973,0.13664285838603973,0.1604548543691635,0.1604548543691635,0.0,0.715,0.056975864707731916,large_neighborhood
MOEA/D::large_neighborhood,1004,220,0.13698886334896088,0.029013236984610558,0.23885318636894226,0.13698886334896088,0.029013236984610558,0.23885318636894226,0.1185079887509346,0.03229935094714165,0.24339216947555542,0.1185079887509346,0.03229935094714165,0.24339216947555542,0.13139982521533966,0.13139982521533966,0.13495175540447235,0.13495175540447235,0.0,0.7191666666666666,0.061639464493317635,large_neighborhood
MOEA/D::large_neighborhood,1005,220,0.13052162528038025,0.02271943725645542,0.2867416441440582,0.13052162528038025,0.02271943725645542,0.2867416441440582,0.12924636900424957,0.02380187250673771,0.28628629446029663,0.12926651537418365,0.02380422316491604,0.2863301932811737,0.14646697044372559,0.14644484221935272,0.1466609090566635,0.1466609090566635,2.213455991295632e-05,0.7125,0.06639343179412512,large_neighborhood
MOEA/D::large_neighborhood,1006,220,0.1569768637418747,0.025950895622372627,0.404008150100708,0.1569768637418747,0.025950895622372627,0.404008150100708,0.1556919813156128,0.03410398215055466,0.34144362807273865,0.1556919813156128,0.03410398215055466,0.34144362807273865,0.17707987129688263,0.17707987129688263,0.1956452876329422,0.1956452876329422,0.0,0.6491666666666667,0.11160424576802126,large_neighborhood
MOEA/D::large_neighborhood,1007,220,0.223801389336586,0.04432804882526398,0.29128456115722656,0.223801389336586,0.04432804882526398,0.29128456115722656,0.2044977992773056,0.047100286930799484,0.3702251613140106,0.2044977992773056,0.047100286930799484,0.3702251613140106,0.2072744220495224,0.2072744220495224,0.1864713430404663,0.1864713430404663,0.0,0.5925,0.22067788879643646,large_neighborhood
MOEA/D::large_neighborhood,1008,220,0.18102464079856873,0.034250952303409576,0.2645040452480316,0.18102464079856873,0.034250952303409576,0.2645040452480316,0.1709470897912979,0.0450766496360302,0.2777503728866577,0.1709470897912979,0.0450766496360302,0.2777503728866577,0.16459137201309204,0.16459137201309204,0.15992654860019684,0.15992654860019684,0.0,0.635,0.13079830108965465,large_neighborhood
MOEA/D::large_neighborhood,1009,220,0.15230882167816162,0.0300610288977623,0.3037343919277191,0.15230882167816162,0.0300610288977623,0.3037343919277191,0.14736749231815338,0.032253608107566833,0.31930527091026306,0.14736749231815338,0.032253608107566833,0.31930527091026306,0.16630879044532776,0.16630879044532776,0.1620347499847412,0.1620347499847412,0.0,0.6758333333333333,0.09851233713807789,large_neighborhood
MOEA/D::large_neighborhood,1010,220,0.13367851078510284,0.030842330306768417,0.2946402132511139,0.13367851078510284,0.030842330306768417,0.2946402132511139,0.12249743193387985,0.03893514350056648,0.2585022747516632,0.12249743193387985,0.03893514350056648,0.2585022747516632,0.139978289604187,0.139978289604187,0.15305368602275848,0.15305368602275848,0.0,0.7,0.08603145160028292,large_neighborhood
MOEA/D::exploitative,1001,220,0.11774662882089615,0.026136489585042,0.21482841670513153,0.11774662882089615,0.026136489585042,0.21482841670513153,0.11241545528173447,0.026605049148201942,0.24721619486808777,0.11241545528173447,0.026605049148201942,0.24721619486808777,0.12874557077884674,0.12874557077884674,0.11957051604986191,0.11957051604986191,0.0,0.765,0.03714182479724312,exploitative
MOEA/D::exploitative,1002,220,0.14535711705684662,0.0359063595533371,0.23681432008743286,0.14535711705684662,0.0359063595533371,0.23681432008743286,0.1424824297428131,0.050771769136190414,0.22953589260578156,0.1424824297428131,0.050771769136190414,0.22953589260578156,0.14093004167079926,0.14093004167079926,0.1393592655658722,0.1393592655658722,0.0,0.7066666666666667,0.11485048377602536,exploitative
MOEA/D::exploitative,1003,220,0.1864728182554245,0.031247297301888466,0.35271453857421875,0.1864728182554245,0.031247297301888466,0.35271453857421875,0.17927409708499908,0.0345834344625473,0.34277206659317017,0.17927409708499908,0.0345834344625473,0.34277206659317017,0.18554319441318512,0.18554319441318512,0.19014489650726318,0.19014489650726318,0.0,0.635,0.13741023812072348,exploitative
MOEA/D::exploitative,1004,220,0.131068617105484,0.02000555209815502,0.24795711040496826,0.131068617105484,0.02000555209815502,0.24795711040496826,0.12406652420759201,0.022940801456570625,0.23420962691307068,0.12406652420759201,0.022940801456570625,0.23420962691307068,0.1270723193883896,0.1270723193883896,0.13301043212413788,0.13301043212413788,0.0,0.7291666666666666,0.053614341481229344,exploitative
MOEA/D::exploitative,1005,220,0.12169910967350006,0.025166073814034462,0.22771182656288147,0.12169910967350006,0.025166073814034462,0.22771182656288147,0.11364717036485672,0.028436623513698578,0.22994279861450195,0.11364717036485672,0.028436623513698578,0.22994279861450195,0.12400886416435242,0.12400886416435242,0.12485900521278381,0.12485900521278381,0.0,0.7266666666666667,0.039306557136970156,exploitative
MOEA/D::exploitative,1006,220,0.11548639088869095,0.03282266482710838,0.28388771414756775,0.11548639088869095,0.03282266482710838,0.28388771414756775,0.12309559434652328,0.0382063053548336,0.2450668066740036,0.12309559434652328,0.0382063053548336,0.2450668066740036,0.13545623421669006,0.13545623421669006,0.14406558871269226,0.14406558871269226,0.0,0.7008333333333333,0.08386331982990596,exploitative
MOEA/D::exploitative,1007,220,0.2081112116575241,0.02827971987426281,0.28298744559288025,0.2081112116575241,0.02827971987426281,0.28298744559288025,0.15710827708244324,0.03760777413845062,0.28368979692459106,0.15710827708244324,0.03760777413845062,0.28368979692459106,0.1594686061143875,0.1594686061143875,0.17312611639499664,0.17312611639499664,0.0,0.7033333333333334,0.11672042624037338,exploitative
MOEA/D::exploitative,1008,220,0.17061932384967804,0.02470066025853157,0.26631537079811096,0.17061932384967804,0.02470066025853157,0.26631537079811096,0.15526464581489563,0.026633350178599358,0.32319462299346924,0.15526464581489563,0.026633350178599358,0.32319462299346924,0.16836421191692352,0.16836421191692352,0.15387845039367676,0.15387845039367676,0.0,0.685,0.09382990997979103,exploitative
MOEA/D::exploitative,1009,220,0.18933215737342834,0.024803945794701576,0.38375991582870483,0.18933215737342834,0.024803945794701576,0.38375991582870483,0.17426277697086334,0.03275441750884056,0.3396621346473694,0.17426277697086334,0.03275441750884056,0.3396621346473694,0.18222643435001373,0.18222643435001373,0.1992986798286438,0.1992986798286438,0.0,0.6533333333333333,0.12088855822312022,exploitative
MOEA/D::exploitative,1010,220,0.1438056230545044,0.03083331137895584,0.22886206209659576,0.1438056230545044,0.03083331137895584,0.22886206209659576,0.1289486587047577,0.03361727297306061,0.24751819670200348,0.1289486587047577,0.03361727297306061,0.24751819670200348,0.13669471442699432,0.13669471442699432,0.13450032472610474,0.13450032472610474,0.0,0.71,0.07507236068108276,exploitative
MOEA/D::stable_decomposition,1001,220,0.12137992680072784,0.023296982049942017,0.2616958022117615,0.12137992680072784,0.023296982049942017,0.2616958022117615,0.12055273354053497,0.02484588883817196,0.2659255564212799,0.12055273354053497,0.02484588883817196,0.2659255564212799,0.13710805773735046,0.13710805773735046,0.1354575753211975,0.1354575753211975,0.0,0.7291666666666666,0.05433474347602479,stable_decomposition
MOEA/D::stable_decomposition,1002,220,0.14609074592590332,0.04664326086640358,0.36691364645957947,0.14609074592590332,0.04664326086640358,0.36691364645957947,0.15066468715667725,0.05325733497738838,0.2862837612628937,0.15066468715667725,0.05325733497738838,0.2862837612628937,0.16340191662311554,0.16340191662311554,0.18654923141002655,0.18654923141002655,0.0,0.6233333333333333,0.20354056679109034,stable_decomposition
MOEA/D::stable_decomposition,1003,220,0.08300215005874634,0.03311045095324516,0.20468200743198395,0.08300215005874634,0.03311045095324516,0.20468200743198395,0.09578095376491547,0.032537925988435745,0.2107521891593933,0.09578095376491547,0.032537925988435745,0.2107521891593933,0.11302369087934494,0.11302369087934494,0.10693153738975525,0.10693153738975525,0.0,0.7633333333333333,0.04602080437857828,stable_decomposition
MOEA/D::stable_decomposition,1004,220,0.13443654775619507,0.043087348341941833,0.24025844037532806,0.13443654775619507,0.043087348341941833,0.24025844037532806,0.1180507019162178,0.04630664736032486,0.261852890253067,0.1180507019162178,0.04630664736032486,0.261852890253067,0.14207006990909576,0.14207006990909576,0.13926078379154205,0.13926078379154205,0.0,0.655,0.15469794051375277,stable_decomposition
MOEA/D::stable_decomposition,1005,220,0.12213621288537979,0.022075368091464043,0.22281339764595032,0.12213621288537979,0.022075368091464043,0.22281339764595032,0.11945055425167084,0.022362250834703445,0.23981377482414246,0.11945055425167084,0.022362250834703445,0.23981377482414246,0.1272088587284088,0.1272088587284088,0.12234165519475937,0.12234165519475937,0.0,0.7325,0.05810832290228137,stable_decomposition
MOEA/D::stable_decomposition,1006,220,0.1374160498380661,0.023888682946562767,0.2989206314086914,0.1374160498380661,0.023888682946562767,0.2989206314086914,0.13346078991889954,0.02687482163310051,0.28119173645973206,0.13346078991889954,0.02687482163310051,0.28119173645973206,0.14717578887939453,0.14717578887939453,0.1534084528684616,0.1534084528684616,0.0,0.7166666666666667,0.064067687294439,stable_decomposition
MOEA/D::stable_decomposition,1007,220,0.1573621779680252,0.03325410187244415,0.3101103603839874,0.1573621779680252,0.03325410187244415,0.3101103603839874,0.15248535573482513,0.03674204275012016,0.29965394735336304,0.15248535573482513,0.03674204275012016,0.29965394735336304,0.1629604548215866,0.1629604548215866,0.1669088751077652,0.1669088751077652,0.0,0.6491666666666667,0.1196563597873207,stable_decomposition
MOEA/D::stable_decomposition,1008,220,0.11618830263614655,0.02103595808148384,0.21433211863040924,0.11618830263614655,0.02103595808148384,0.21433211863040924,0.10133981704711914,0.025110429152846336,0.2538558840751648,0.10133981704711914,0.025110429152846336,0.2538558840751648,0.12676870822906494,0.12676870822906494,0.11718545109033585,0.11718545109033585,0.0,0.765,0.02594037806626494,stable_decomposition
MOEA/D::stable_decomposition,1009,220,0.13522572815418243,0.03387594223022461,0.26099666953086853,0.13522572815418243,0.03387594223022461,0.26099666953086853,0.133358433842659,0.03593476489186287,0.25614213943481445,0.133358433842659,0.03593476489186287,0.25614213943481445,0.1418117731809616,0.1418117731809616,0.14336611330509186,0.14336611330509186,0.0,0.7183333333333334,0.08880367564656923,stable_decomposition
MOEA/D::stable_decomposition,1010,220,0.1045754998922348,0.02740124985575676,0.2476598620414734,0.1045754998922348,0.02740124985575676,0.2476598620414734,0.11312469094991684,0.028873693197965622,0.23499451577663422,0.11312469094991684,0.028873693197965622,0.23499451577663422,0.12566429376602173,0.12566429376602173,0.12654553353786469,0.12654553353786469,0.0,0.7458333333333333,0.044325833171543705,stable_decomposition
